Title,page_no,recitation_no,recitation,image_pages,ayet_sayisi,etiketler,sureler
Sayfa 215,215,1,public://quran_audio/alafasy-Sayfa215.mp3,public://quran_images/sayfa-215.png,8,,
Sayfa 216,216,1,public://quran_audio/alafasy-Sayfa216.mp3,public://quran_images/sayfa-216.png,9,,
Sayfa 217,217,1,public://quran_audio/alafasy-Sayfa217.mp3,public://quran_images/sayfa-217.png,8,,
Sayfa 218,218,1,public://quran_audio/alafasy-Sayfa218.mp3,public://quran_images/sayfa-218.png,10,,
Sayfa 219,219,1,public://quran_audio/alafasy-Sayfa219.mp3,public://quran_images/sayfa-219.png,9,,
Sayfa 220,220,1,public://quran_audio/alafasy-Sayfa220.mp3,public://quran_images/sayfa-220.png,9,,
Sayfa 221,221,1,public://quran_audio/alafasy-Sayfa221.mp3,public://quran_images/sayfa-221.png,8,,
Sayfa 222,222,1,public://quran_audio/alafasy-Sayfa222.mp3,public://quran_images/sayfa-222.png,7,,
Sayfa 223,223,1,public://quran_audio/alafasy-Sayfa223.mp3,public://quran_images/sayfa-223.png,7,,
Sayfa 224,224,1,public://quran_audio/alafasy-Sayfa224.mp3,public://quran_images/sayfa-224.png,9,,
Sayfa 225,225,1,public://quran_audio/alafasy-Sayfa225.mp3,public://quran_images/sayfa-225.png,9,,
Sayfa 226,226,1,public://quran_audio/alafasy-Sayfa226.mp3,public://quran_images/sayfa-226.png,8,,
Sayfa 227,227,1,public://quran_audio/alafasy-Sayfa227.mp3,public://quran_images/sayfa-227.png,8,,
Sayfa 228,228,1,public://quran_audio/alafasy-Sayfa228.mp3,public://quran_images/sayfa-228.png,9,,
Sayfa 229,229,1,public://quran_audio/alafasy-Sayfa229.mp3,public://quran_images/sayfa-229.png,9,,
Sayfa 230,230,1,public://quran_audio/alafasy-Sayfa230.mp3,public://quran_images/sayfa-230.png,10,,
Sayfa 231,231,1,public://quran_audio/alafasy-Sayfa231.mp3,public://quran_images/sayfa-231.png,7,,
Sayfa 232,232,1,public://quran_audio/alafasy-Sayfa232.mp3,public://quran_images/sayfa-232.png,9,,
Sayfa 233,233,1,public://quran_audio/alafasy-Sayfa233.mp3,public://quran_images/sayfa-233.png,11,,
Sayfa 234,234,1,public://quran_audio/alafasy-Sayfa234.mp3,public://quran_images/sayfa-234.png,9,,
Sayfa 235,235,1,public://quran_audio/alafasy-Sayfa235.mp3,public://quran_images/sayfa-235.png,10,,
Sayfa 236,236,1,public://quran_audio/alafasy-Sayfa236.mp3,public://quran_images/sayfa-236.png,10,,
